MonthlyCharges,Contract,PaymentMethod,Partner,MultipleLines
95.55,One year,Electronic check,No,No
34.5,Month-to-month,Electronic check,Yes,No phone service
77.15,Month-to-month,Electronic check,No,Yes
49.35,Two year,Electronic check,Yes,No phone service
69.9,Month-to-month,Mailed check,Yes,No
89.15,Month-to-month,Electronic check,No,Yes
70.3,Month-to-month,Electronic check,No,No
74.9,Month-to-month,Electronic check,No,No
54.55,Month-to-month,Bank transfer (automatic),Yes,No phone service
85.35,Month-to-month,Bank transfer (automatic),Yes,Yes
86.45,Month-to-month,Electronic check,No,Yes
56.25,Month-to-month,Electronic check,No,No
78.6,One year,Credit card (automatic),No,Yes
24.45,Month-to-month,Mailed check,No,No phone service
99.55,Month-to-month,Electronic check,No,Yes
100.2,Month-to-month,Electronic check,No,Yes
89.75,Month-to-month,Bank transfer (automatic),No,Yes
69.75,Month-to-month,Electronic check,No,No
99.45,Month-to-month,Credit card (automatic),No,Yes
34.7,Month-to-month,Electronic check,No,No phone service
79.7,Two year,Electronic check,Yes,Yes
89.0,Month-to-month,Mailed check,Yes,No
89.95,Month-to-month,Electronic check,No,Yes
19.65,Month-to-month,Mailed check,No,No
24.6,Month-to-month,Electronic check,No,No phone service
75.3,Month-to-month,Electronic check,No,No
24.95,Month-to-month,Electronic check,Yes,No phone service
81.0,Month-to-month,Credit card (automatic),No,Yes
86.85,Month-to-month,Mailed check,Yes,Yes
19.5,Month-to-month,Bank transfer (automatic),Yes,No
36.5,Month-to-month,Bank transfer (automatic),Yes,No phone service
79.55,Month-to-month,Electronic check,No,No
70.3,Month-to-month,Electronic check,Yes,No
71.55,Month-to-month,Mailed check,No,No
42.35,One year,Electronic check,Yes,No phone service
20.2,Month-to-month,Bank transfer (automatic),No,No
77.75,Month-to-month,Electronic check,Yes,Yes
74.3,Month-to-month,Electronic check,No,Yes
99.95,Month-to-month,Mailed check,No,Yes
70.3,Month-to-month,Electronic check,No,No
70.2,Month-to-month,Bank transfer (automatic),No,No
91.4,Month-to-month,Electronic check,No,Yes
82.0,Month-to-month,Electronic check,No,Yes
99.55,Month-to-month,Credit card (automatic),Yes,Yes
85.3,Month-to-month,Electronic check,Yes,No
95.15,Month-to-month,Bank transfer (automatic),No,Yes
69.1,Month-to-month,Electronic check,No,No
96.5,Month-to-month,Electronic check,Yes,Yes
85.2,Month-to-month,Mailed check,No,Yes
60.15,Month-to-month,Electronic check,No,Yes
74.4,Month-to-month,Mailed check,Yes,Yes
100.8,Month-to-month,Electronic check,No,Yes
72.45,One year,Credit card (automatic),Yes,Yes
70.2,Month-to-month,Electronic check,No,No
69.35,Month-to-month,Electronic check,No,No
80.8,Month-to-month,Credit card (automatic),No,Yes
24.1,Month-to-month,Mailed check,Yes,Yes
34.7,Month-to-month,Electronic check,No,No phone service
105.0,One year,Bank transfer (automatic),No,No
98.6,One year,Bank transfer (automatic),Yes,No
109.75,Two year,Bank transfer (automatic),Yes,No
45.4,Month-to-month,Mailed check,No,No
89.05,One year,Electronic check,Yes,Yes
69.65,Month-to-month,Electronic check,No,No
47.15,Month-to-month,Electronic check,No,Yes
70.4,Month-to-month,Electronic check,No,No
45.15,Month-to-month,Electronic check,No,No
75.2,Month-to-month,Bank transfer (automatic),Yes,No
104.0,Two year,Credit card (automatic),No,Yes
69.4,Month-to-month,Mailed check,Yes,No
85.35,Month-to-month,Electronic check,No,No
91.85,Month-to-month,Electronic check,No,Yes
79.5,Month-to-month,Electronic check,No,No
101.4,Month-to-month,Electronic check,No,Yes
90.55,Month-to-month,Credit card (automatic),No,Yes
83.65,Month-to-month,Electronic check,Yes,Yes
100.3,One year,Credit card (automatic),Yes,Yes
105.65,One year,Credit card (automatic),No,Yes
20.35,Month-to-month,Mailed check,No,No
99.2,One year,Credit card (automatic),Yes,No
69.55,Month-to-month,Electronic check,Yes,No
86.0,Month-to-month,Bank transfer (automatic),No,Yes
80.0,One year,Credit card (automatic),Yes,No
100.65,Month-to-month,Bank transfer (automatic),Yes,Yes
49.15,Month-to-month,Electronic check,No,No phone service
88.85,Month-to-month,Electronic check,No,Yes
75.3,One year,Mailed check,Yes,Yes
20.1,Month-to-month,Mailed check,No,No
70.3,Month-to-month,Electronic check,No,No
20.4,Month-to-month,Mailed check,No,No
102.1,Month-to-month,Credit card (automatic),Yes,Yes
21.05,Month-to-month,Mailed check,No,No
73.75,Month-to-month,Mailed check,No,Yes
84.5,Month-to-month,Bank transfer (automatic),No,Yes
91.4,Month-to-month,Electronic check,No,No
78.1,Month-to-month,Bank transfer (automatic),No,No
67.5,One year,Bank transfer (automatic),Yes,No
40.2,Month-to-month,Electronic check,Yes,No phone service
74.7,Month-to-month,Electronic check,No,No
91.3,Month-to-month,Electronic check,No,Yes
78.3,Month-to-month,Electronic check,No,Yes
113.6,Month-to-month,Bank transfer (automatic),Yes,Yes
74.65,Month-to-month,Electronic check,No,Yes
45.85,Month-to-month,Mailed check,Yes,No
98.55,Month-to-month,Electronic check,No,Yes
77.95,Month-to-month,Bank transfer (automatic),No,Yes
96.3,Month-to-month,Mailed check,No,No
24.75,Two year,Credit card (automatic),No,Yes
80.15,Month-to-month,Credit card (automatic),No,No
50.6,Month-to-month,Mailed check,No,No
85.35,Month-to-month,Electronic check,No,Yes
55.3,Month-to-month,Electronic check,No,No
42.6,Month-to-month,Electronic check,No,No phone service
86.15,Month-to-month,Credit card (automatic),Yes,Yes
89.5,Month-to-month,Electronic check,No,No
62.05,Month-to-month,Bank transfer (automatic),No,Yes
100.25,Month-to-month,Electronic check,Yes,Yes
60.4,Month-to-month,Mailed check,No,No
59.4,Month-to-month,Electronic check,No,No
56.15,Month-to-month,Mailed check,Yes,No
84.1,Month-to-month,Electronic check,Yes,Yes
98.15,Month-to-month,Bank transfer (automatic),No,No
100.6,Month-to-month,Electronic check,Yes,Yes
60.1,Month-to-month,Mailed check,No,Yes
59.3,One year,Electronic check,Yes,No phone service
44.4,Month-to-month,Mailed check,No,No
90.6,One year,Credit card (automatic),Yes,No
50.25,Month-to-month,Electronic check,Yes,Yes
85.55,Month-to-month,Credit card (automatic),No,No
98.4,Month-to-month,Electronic check,No,Yes
70.85,Month-to-month,Electronic check,No,No
99.85,Month-to-month,Electronic check,Yes,No
79.25,Month-to-month,Electronic check,No,No
105.3,Month-to-month,Electronic check,Yes,Yes
19.4,Month-to-month,Mailed check,Yes,No
70.55,Month-to-month,Electronic check,No,No
49.55,Month-to-month,Bank transfer (automatic),No,No
93.4,Month-to-month,Bank transfer (automatic),Yes,Yes
99.65,Month-to-month,Electronic check,No,Yes
79.9,Month-to-month,Electronic check,Yes,No
105.2,Month-to-month,Electronic check,No,Yes
19.8,Month-to-month,Mailed check,No,No
35.1,Month-to-month,Electronic check,Yes,No phone service
51.2,Month-to-month,Credit card (automatic),Yes,No phone service
76.0,Month-to-month,Electronic check,No,Yes
100.0,One year,Electronic check,No,Yes
75.45,Month-to-month,Mailed check,No,Yes
93.2,Month-to-month,Credit card (automatic),No,No
49.65,Month-to-month,Bank transfer (automatic),No,No
69.5,Month-to-month,Bank transfer (automatic),No,No
80.2,Month-to-month,Electronic check,No,No
88.55,Month-to-month,Electronic check,No,Yes
104.5,Month-to-month,Credit card (automatic),Yes,Yes
104.95,Month-to-month,Bank transfer (automatic),Yes,Yes
94.45,Month-to-month,Electronic check,Yes,Yes
85.95,Month-to-month,Electronic check,Yes,Yes
48.35,One year,Credit card (automatic),Yes,Yes
19.6,Month-to-month,Mailed check,No,No
108.6,Two year,Credit card (automatic),Yes,Yes
81.1,Month-to-month,Electronic check,Yes,No
95.15,Month-to-month,Mailed check,Yes,No
54.45,Month-to-month,Electronic check,Yes,No phone service
46.2,Month-to-month,Credit card (automatic),No,No
90.75,Month-to-month,Electronic check,Yes,No
106.1,Month-to-month,Electronic check,Yes,Yes
69.9,Month-to-month,Electronic check,No,No
70.6,Month-to-month,Mailed check,No,No
86.85,Month-to-month,Electronic check,No,No
86.05,Month-to-month,Electronic check,Yes,Yes
100.5,Month-to-month,Electronic check,No,Yes
93.8,Month-to-month,Bank transfer (automatic),Yes,Yes
84.8,Month-to-month,Electronic check,No,Yes
84.65,Month-to-month,Electronic check,No,Yes
102.1,Month-to-month,Credit card (automatic),Yes,Yes
75.0,Month-to-month,Mailed check,No,Yes
20.9,Month-to-month,Mailed check,No,No
70.6,Month-to-month,Electronic check,No,No
87.25,Month-to-month,Electronic check,Yes,Yes
76.05,Month-to-month,Electronic check,No,Yes
29.85,Month-to-month,Bank transfer (automatic),No,No phone service
83.9,Month-to-month,Electronic check,No,No
98.65,Month-to-month,Electronic check,No,Yes
94.65,Month-to-month,Credit card (automatic),No,Yes
55.8,Month-to-month,Electronic check,No,No
73.6,Month-to-month,Electronic check,No,Yes
91.15,Month-to-month,Electronic check,Yes,Yes
84.6,Month-to-month,Electronic check,No,Yes
95.2,Month-to-month,Electronic check,Yes,Yes
64.7,Month-to-month,Bank transfer (automatic),Yes,Yes
70.0,One year,Mailed check,No,No
89.55,Month-to-month,Mailed check,No,No
90.5,Month-to-month,Bank transfer (automatic),No,Yes
90.85,Month-to-month,Electronic check,No,Yes
75.1,Month-to-month,Bank transfer (automatic),No,Yes
77.85,Month-to-month,Electronic check,No,Yes
88.05,Month-to-month,Electronic check,Yes,Yes
49.35,Month-to-month,Electronic check,No,No
79.35,Month-to-month,Electronic check,No,Yes
43.25,Month-to-month,Mailed check,No,No phone service
53.4,Month-to-month,Credit card (automatic),No,No
20.15,Month-to-month,Mailed check,No,No
85.6,Month-to-month,Electronic check,Yes,Yes
59.75,Month-to-month,Credit card (automatic),No,Yes
74.45,Month-to-month,Mailed check,No,Yes
45.8,Month-to-month,Electronic check,No,No
50.6,Month-to-month,Mailed check,No,Yes
49.6,Month-to-month,Mailed check,No,No
78.95,Month-to-month,Electronic check,No,Yes
45.3,Month-to-month,Mailed check,No,No
82.0,Month-to-month,Electronic check,No,Yes
24.45,Month-to-month,Mailed check,No,No phone service
85.7,Month-to-month,Electronic check,No,Yes
96.4,Month-to-month,Electronic check,No,Yes
93.2,Month-to-month,Electronic check,Yes,Yes
56.15,Month-to-month,Electronic check,Yes,No
89.85,Month-to-month,Mailed check,No,Yes
90.45,Month-to-month,Electronic check,No,Yes
94.25,Month-to-month,Electronic check,No,No
54.9,Month-to-month,Electronic check,No,No
30.5,Month-to-month,Credit card (automatic),No,No phone service
74.45,Month-to-month,Electronic check,Yes,Yes
82.0,One year,Credit card (automatic),No,Yes
109.45,Two year,Bank transfer (automatic),Yes,Yes
93.85,Month-to-month,Electronic check,No,Yes
105.85,Month-to-month,Bank transfer (automatic),Yes,Yes
69.25,Month-to-month,Mailed check,No,No
90.25,Month-to-month,Electronic check,No,No
79.65,Month-to-month,Mailed check,No,No
70.15,Month-to-month,Electronic check,No,No
80.35,Month-to-month,Bank transfer (automatic),No,Yes
44.15,Month-to-month,Mailed check,No,No
93.85,Month-to-month,Electronic check,No,Yes
94.7,Month-to-month,Electronic check,Yes,Yes
89.35,Month-to-month,Credit card (automatic),No,Yes
20.5,Month-to-month,Mailed check,No,No
82.85,Month-to-month,Electronic check,Yes,Yes
55.85,One year,Mailed check,No,Yes
60.05,One year,Electronic check,Yes,Yes
90.1,Month-to-month,Electronic check,No,Yes
97.85,Month-to-month,Bank transfer (automatic),No,Yes
84.75,Month-to-month,Electronic check,No,Yes
99.5,Month-to-month,Electronic check,No,No
99.8,Month-to-month,Electronic check,No,Yes
80.55,Month-to-month,Electronic check,No,No
44.7,Month-to-month,Credit card (automatic),Yes,No
109.25,One year,Electronic check,Yes,Yes
30.9,Month-to-month,Electronic check,No,No phone service
104.5,Month-to-month,Credit card (automatic),No,Yes
54.4,Month-to-month,Mailed check,No,Yes
94.25,Month-to-month,Electronic check,No,No
95.35,Month-to-month,Electronic check,No,Yes
79.1,Month-to-month,Electronic check,No,No
100.2,Month-to-month,Electronic check,Yes,Yes
73.5,Month-to-month,Bank transfer (automatic),No,No
104.55,One year,Bank transfer (automatic),Yes,Yes
85.25,Month-to-month,Electronic check,No,Yes
109.5,One year,Electronic check,Yes,Yes
78.05,Month-to-month,Electronic check,No,Yes
45.65,Month-to-month,Electronic check,No,No
79.6,Month-to-month,Electronic check,No,No
89.05,Month-to-month,Bank transfer (automatic),Yes,No
20.85,Month-to-month,Mailed check,Yes,No
104.15,One year,Electronic check,Yes,Yes
106.5,Two year,Bank transfer (automatic),No,Yes
77.5,One year,Mailed check,Yes,Yes
20.15,Month-to-month,Bank transfer (automatic),Yes,No
88.3,Month-to-month,Credit card (automatic),No,Yes
20.4,One year,Electronic check,No,No
69.35,Month-to-month,Electronic check,No,No
44.6,Month-to-month,Electronic check,Yes,No phone service
100.85,Month-to-month,Credit card (automatic),No,Yes
20.25,Month-to-month,Mailed check,No,No
95.9,Month-to-month,Electronic check,Yes,Yes
55.7,Month-to-month,Mailed check,No,No
94.4,Month-to-month,Electronic check,No,Yes
69.65,Month-to-month,Electronic check,No,No
91.5,Month-to-month,Credit card (automatic),Yes,Yes
55.9,Month-to-month,Credit card (automatic),Yes,No
69.7,Month-to-month,Electronic check,No,No
106.75,Month-to-month,Electronic check,Yes,Yes
79.7,Month-to-month,Electronic check,No,No
30.4,Month-to-month,Electronic check,No,No phone service
95.6,Month-to-month,Electronic check,No,No
46.35,Month-to-month,Electronic check,Yes,No phone service
74.95,Month-to-month,Bank transfer (automatic),No,Yes
72.65,Month-to-month,Electronic check,No,Yes
70.1,Month-to-month,Mailed check,Yes,No
81.7,Month-to-month,Bank transfer (automatic),No,No
19.65,Month-to-month,Mailed check,No,No
109.8,Month-to-month,Mailed check,No,Yes
85.65,Month-to-month,Electronic check,No,Yes
39.05,Month-to-month,Electronic check,Yes,No phone service
55.25,Month-to-month,Mailed check,No,No
92.45,Two year,Credit card (automatic),Yes,Yes
102.25,Month-to-month,Credit card (automatic),Yes,Yes
86.5,Month-to-month,Electronic check,Yes,Yes
104.4,Month-to-month,Electronic check,Yes,Yes
56.65,Month-to-month,Mailed check,No,No
76.1,Month-to-month,Electronic check,No,Yes
24.35,Month-to-month,Electronic check,No,No phone service
74.9,Month-to-month,Electronic check,No,Yes
30.35,Month-to-month,Electronic check,Yes,No phone service
75.0,Month-to-month,Mailed check,No,Yes
44.95,Month-to-month,Mailed check,No,No
19.7,Month-to-month,Mailed check,No,No
86.65,Month-to-month,Electronic check,Yes,Yes
89.25,Month-to-month,Electronic check,No,No
49.55,Month-to-month,Mailed check,Yes,No
54.75,Month-to-month,Mailed check,No,No
80.25,Month-to-month,Electronic check,No,No
99.35,Month-to-month,Electronic check,Yes,Yes
25.2,Month-to-month,Bank transfer (automatic),No,No phone service
79.0,Month-to-month,Electronic check,No,No
101.5,One year,Credit card (automatic),Yes,Yes
90.1,Month-to-month,Electronic check,No,Yes
85.35,One year,Bank transfer (automatic),No,No
81.7,Month-to-month,Electronic check,No,Yes
81.25,Month-to-month,Electronic check,No,Yes
79.4,Two year,Credit card (automatic),Yes,Yes
85.45,Month-to-month,Bank transfer (automatic),No,Yes
104.7,One year,Credit card (automatic),Yes,No
106.05,Two year,Credit card (automatic),Yes,Yes
74.35,Month-to-month,Electronic check,No,No
73.85,Month-to-month,Bank transfer (automatic),Yes,Yes
34.7,Month-to-month,Electronic check,No,No phone service
92.35,Month-to-month,Mailed check,Yes,No
45.15,Month-to-month,Mailed check,No,No
71.65,Month-to-month,Electronic check,No,No
60.0,Month-to-month,Electronic check,No,No
110.0,One year,Electronic check,No,Yes
76.2,Month-to-month,Electronic check,Yes,No
105.4,One year,Credit card (automatic),No,No
19.4,Month-to-month,Mailed check,No,No
19.4,Month-to-month,Electronic check,No,No
90.6,Month-to-month,Electronic check,No,No
89.05,Month-to-month,Credit card (automatic),No,Yes
86.25,Month-to-month,Electronic check,No,No
100.3,Month-to-month,Credit card (automatic),No,No
99.6,Month-to-month,Electronic check,Yes,Yes
90.0,Month-to-month,Credit card (automatic),Yes,No
73.0,Month-to-month,Electronic check,No,No
75.4,Month-to-month,Credit card (automatic),Yes,Yes
89.8,Month-to-month,Electronic check,No,Yes
79.85,Month-to-month,Credit card (automatic),No,Yes
80.15,Month-to-month,Bank transfer (automatic),Yes,Yes
81.0,Month-to-month,Electronic check,No,Yes
45.1,Month-to-month,Electronic check,No,No
20.3,Month-to-month,Mailed check,No,No
50.25,Month-to-month,Bank transfer (automatic),No,No
71.0,Month-to-month,Credit card (automatic),No,No
88.8,Month-to-month,Bank transfer (automatic),No,No
89.4,Month-to-month,Electronic check,No,No
74.3,Month-to-month,Electronic check,No,No
79.15,Month-to-month,Electronic check,No,Yes
45.3,Month-to-month,Mailed check,No,No phone service
74.85,Month-to-month,Mailed check,No,Yes
95.65,Month-to-month,Electronic check,No,No
19.45,Month-to-month,Electronic check,No,No
98.0,Month-to-month,Electronic check,Yes,No
94.65,Month-to-month,Credit card (automatic),Yes,No
89.8,Month-to-month,Electronic check,No,No
85.0,Month-to-month,Electronic check,No,No
100.15,Month-to-month,Electronic check,Yes,No
100.2,Month-to-month,Electronic check,Yes,Yes
98.25,One year,Electronic check,Yes,Yes
50.75,Month-to-month,Electronic check,No,No phone service
89.5,Month-to-month,Electronic check,No,No
25.3,One year,Bank transfer (automatic),No,Yes
25.2,Month-to-month,Mailed check,No,No phone service
70.3,Month-to-month,Electronic check,Yes,No
69.55,Month-to-month,Bank transfer (automatic),No,No
62.05,Month-to-month,Mailed check,No,Yes
29.7,Month-to-month,Mailed check,No,No phone service
20.1,Month-to-month,Mailed check,No,No
79.2,Month-to-month,Electronic check,Yes,Yes
100.7,Month-to-month,Electronic check,Yes,Yes
30.3,Month-to-month,Bank transfer (automatic),No,No phone service
80.2,Month-to-month,Mailed check,No,Yes
19.1,Month-to-month,Mailed check,No,No
47.85,Two year,Electronic check,Yes,No phone service
52.2,Month-to-month,Electronic check,No,No
45.05,Month-to-month,Mailed check,No,No
86.55,Month-to-month,Credit card (automatic),No,Yes
74.95,Month-to-month,Electronic check,Yes,Yes
20.95,Month-to-month,Mailed check,No,No
85.0,Month-to-month,Electronic check,Yes,Yes
74.35,Month-to-month,Electronic check,No,Yes
79.9,Month-to-month,Electronic check,No,No
79.25,Month-to-month,Electronic check,No,No
103.75,One year,Electronic check,Yes,No
98.4,Month-to-month,Credit card (automatic),Yes,Yes
19.75,Month-to-month,Bank transfer (automatic),No,No
89.8,Month-to-month,Electronic check,Yes,Yes
94.0,Month-to-month,Electronic check,No,Yes
40.65,Month-to-month,Mailed check,Yes,No phone service
102.0,Month-to-month,Electronic check,Yes,Yes
84.3,Month-to-month,Electronic check,Yes,Yes
91.25,Month-to-month,Electronic check,No,No
29.95,Month-to-month,Bank transfer (automatic),No,No phone service
79.35,Month-to-month,Bank transfer (automatic),Yes,No
96.0,Month-to-month,Electronic check,No,Yes
71.8,Month-to-month,Bank transfer (automatic),Yes,No
80.4,Month-to-month,Electronic check,Yes,No
75.5,Month-to-month,Electronic check,Yes,Yes
86.25,Month-to-month,Electronic check,Yes,No
29.5,Month-to-month,Mailed check,No,No phone service
69.75,Month-to-month,Bank transfer (automatic),Yes,No
69.05,Month-to-month,Mailed check,No,No
69.0,Month-to-month,Electronic check,Yes,No
104.65,Month-to-month,Electronic check,Yes,Yes
114.5,Month-to-month,Bank transfer (automatic),No,Yes
90.85,Month-to-month,Electronic check,No,No
20.2,Month-to-month,Mailed check,No,No
100.05,Month-to-month,Electronic check,Yes,Yes
45.85,Month-to-month,Mailed check,No,No
80.85,Month-to-month,Bank transfer (automatic),Yes,No
85.6,Month-to-month,Bank transfer (automatic),Yes,Yes
84.25,Month-to-month,Credit card (automatic),No,No
79.2,Month-to-month,Electronic check,No,No
78.9,Month-to-month,Electronic check,Yes,Yes
49.95,Month-to-month,Electronic check,Yes,No phone service
46.0,Month-to-month,Electronic check,Yes,No
79.7,Month-to-month,Bank transfer (automatic),Yes,No
70.45,Month-to-month,Mailed check,No,No
39.1,Month-to-month,Bank transfer (automatic),Yes,No phone service
105.05,Month-to-month,Electronic check,Yes,Yes
50.45,Month-to-month,Mailed check,No,No
84.8,Month-to-month,Bank transfer (automatic),No,Yes
64.7,Month-to-month,Mailed check,No,No
84.8,Month-to-month,Electronic check,Yes,No
101.25,Month-to-month,Electronic check,No,No
79.1,Month-to-month,Electronic check,No,No
69.8,Month-to-month,Electronic check,No,No
70.35,Month-to-month,Electronic check,No,No
99.25,Month-to-month,Electronic check,Yes,Yes
95.85,Month-to-month,Electronic check,No,No
90.2,Month-to-month,Electronic check,Yes,No
106.9,Month-to-month,Electronic check,No,Yes
89.4,Month-to-month,Electronic check,No,Yes
25.25,Month-to-month,Electronic check,No,No phone service
70.75,Month-to-month,Electronic check,No,No
80.45,Month-to-month,Electronic check,Yes,No
102.8,Month-to-month,Mailed check,No,Yes
85.45,Month-to-month,Electronic check,No,No
94.2,Month-to-month,Electronic check,No,Yes
89.45,Month-to-month,Credit card (automatic),Yes,No
75.8,Month-to-month,Electronic check,No,No
105.35,Month-to-month,Bank transfer (automatic),No,Yes
57.15,Month-to-month,Credit card (automatic),No,No
48.95,Month-to-month,Credit card (automatic),No,No phone service
89.75,Month-to-month,Electronic check,Yes,No
34.7,One year,Mailed check,Yes,No phone service
100.45,One year,Mailed check,Yes,Yes
20.2,Month-to-month,Mailed check,No,No
85.25,Month-to-month,Credit card (automatic),Yes,Yes
74.7,Month-to-month,Electronic check,No,No
49.9,Month-to-month,Mailed check,No,No
78.45,Month-to-month,Electronic check,No,No
101.9,Month-to-month,Electronic check,Yes,Yes
19.95,Month-to-month,Electronic check,No,No
75.25,Month-to-month,Electronic check,No,Yes
46.0,Month-to-month,Electronic check,Yes,No
102.45,Month-to-month,Electronic check,Yes,Yes
74.3,Month-to-month,Credit card (automatic),Yes,No
76.65,Month-to-month,Bank transfer (automatic),No,No
51.75,Month-to-month,Credit card (automatic),No,Yes
19.9,Month-to-month,Mailed check,Yes,No
85.0,Month-to-month,Electronic check,Yes,Yes
71.35,Month-to-month,Mailed check,No,No
74.35,Month-to-month,Electronic check,Yes,Yes
99.1,Month-to-month,Credit card (automatic),No,No
94.65,Month-to-month,Electronic check,Yes,Yes
74.5,Month-to-month,Electronic check,No,Yes
44.85,Month-to-month,Electronic check,Yes,No phone service
69.85,Month-to-month,Electronic check,No,No
100.05,Month-to-month,Electronic check,Yes,Yes
98.1,Month-to-month,Bank transfer (automatic),No,No
53.95,Month-to-month,Electronic check,No,No
101.1,Month-to-month,Electronic check,No,Yes
89.6,Month-to-month,Mailed check,No,Yes
105.0,Month-to-month,Electronic check,No,Yes
83.85,Month-to-month,Electronic check,No,Yes
78.75,Month-to-month,Electronic check,Yes,Yes
19.9,Month-to-month,Mailed check,No,No
85.15,One year,Electronic check,No,No
70.4,Month-to-month,Electronic check,Yes,No
74.4,Month-to-month,Electronic check,No,No
80.35,Month-to-month,Electronic check,Yes,No
105.2,One year,Bank transfer (automatic),No,No
74.9,Month-to-month,Electronic check,Yes,Yes
105.9,Month-to-month,Electronic check,Yes,Yes
96.7,Month-to-month,Electronic check,No,Yes
19.85,One year,Mailed check,Yes,No
70.45,One year,Bank transfer (automatic),No,No
85.2,Month-to-month,Electronic check,No,Yes
19.8,Month-to-month,Mailed check,No,No
90.8,Month-to-month,Electronic check,Yes,Yes
89.8,Month-to-month,Mailed check,No,No
25.2,Month-to-month,Electronic check,No,No phone service
