MonthlyCharges,Contract,PaymentMethod,Partner,MultipleLines
79.95,Month-to-month,Electronic check,Yes,No
44.85,One year,Credit card (automatic),No,No phone service
70.05,Month-to-month,Credit card (automatic),No,No
85.8,Month-to-month,Credit card (automatic),No,Yes
40.15,Month-to-month,Mailed check,No,No phone service
100.55,Month-to-month,Electronic check,No,No
100.05,One year,Credit card (automatic),No,Yes
93.3,Month-to-month,Electronic check,No,Yes
71.3,Month-to-month,Credit card (automatic),No,No
53.95,One year,Mailed check,No,No phone service
103.85,Month-to-month,Bank transfer (automatic),Yes,Yes
94.45,Month-to-month,Credit card (automatic),No,No
115.55,One year,Credit card (automatic),No,Yes
99.05,Month-to-month,Bank transfer (automatic),Yes,Yes
93.9,Month-to-month,Electronic check,Yes,Yes
69.7,Month-to-month,Bank transfer (automatic),No,No
45.4,Month-to-month,Electronic check,No,No phone service
41.15,Month-to-month,Electronic check,No,No phone service
79.05,Month-to-month,Electronic check,No,No
74.5,Month-to-month,Electronic check,Yes,No
79.05,Month-to-month,Electronic check,No,Yes
75.35,Month-to-month,Credit card (automatic),No,Yes
81.05,Month-to-month,Electronic check,Yes,No
75.15,Month-to-month,Credit card (automatic),Yes,Yes
104.05,Month-to-month,Mailed check,No,Yes
40.2,Month-to-month,Bank transfer (automatic),Yes,No phone service
54.75,Month-to-month,Electronic check,Yes,Yes
28.45,Month-to-month,Electronic check,No,No phone service
90.8,Month-to-month,Electronic check,No,Yes
101.0,Month-to-month,Electronic check,Yes,Yes
94.95,Month-to-month,Electronic check,No,No
79.6,Month-to-month,Electronic check,No,No
20.2,Month-to-month,Mailed check,No,No
70.75,Month-to-month,Electronic check,Yes,No
49.25,Month-to-month,Electronic check,No,No phone service
86.05,Month-to-month,Bank transfer (automatic),No,Yes
100.2,Month-to-month,Electronic check,Yes,Yes
20.6,Month-to-month,Mailed check,No,No
20.15,Month-to-month,Mailed check,No,No
99.8,Month-to-month,Electronic check,Yes,Yes
68.25,Month-to-month,Electronic check,No,No
48.35,Month-to-month,Electronic check,Yes,No phone service
99.25,Month-to-month,Bank transfer (automatic),No,Yes
50.5,Month-to-month,Electronic check,No,No
80.5,Month-to-month,Electronic check,No,Yes
106.95,One year,Credit card (automatic),No,Yes
106.1,One year,Bank transfer (automatic),Yes,No
54.15,One year,Credit card (automatic),Yes,No
94.75,Month-to-month,Electronic check,No,Yes
104.7,One year,Bank transfer (automatic),No,Yes
110.75,Month-to-month,Bank transfer (automatic),Yes,Yes
109.55,Month-to-month,Electronic check,Yes,Yes
109.9,Month-to-month,Credit card (automatic),No,Yes
74.95,Month-to-month,Bank transfer (automatic),Yes,Yes
98.6,Month-to-month,Credit card (automatic),No,Yes
80.8,Month-to-month,Electronic check,No,No
69.75,Month-to-month,Bank transfer (automatic),No,No
101.1,Month-to-month,Electronic check,Yes,Yes
91.75,Month-to-month,Bank transfer (automatic),Yes,Yes
20.2,Month-to-month,Mailed check,No,No
68.85,Month-to-month,Bank transfer (automatic),No,No
89.65,Month-to-month,Mailed check,Yes,Yes
44.45,Month-to-month,Mailed check,No,No
19.55,Month-to-month,Mailed check,Yes,No
86.45,Month-to-month,Electronic check,No,Yes
73.9,Month-to-month,Electronic check,No,No
90.55,Month-to-month,Electronic check,No,No
84.6,Month-to-month,Credit card (automatic),No,No
108.15,Month-to-month,Credit card (automatic),No,No
79.15,Month-to-month,Electronic check,No,Yes
90.6,Month-to-month,Electronic check,No,Yes
96.55,One year,Credit card (automatic),Yes,Yes
96.55,Month-to-month,Electronic check,No,Yes
100.15,Month-to-month,Bank transfer (automatic),No,Yes
74.6,Month-to-month,Mailed check,No,No
44.75,Month-to-month,Electronic check,No,No
48.55,Month-to-month,Mailed check,No,No
100.05,Month-to-month,Credit card (automatic),Yes,Yes
75.05,Month-to-month,Credit card (automatic),No,Yes
80.3,Month-to-month,Credit card (automatic),Yes,No
76.4,Month-to-month,Mailed check,Yes,No
99.75,Month-to-month,Electronic check,No,Yes
79.15,Month-to-month,Electronic check,No,No
83.85,Month-to-month,Credit card (automatic),No,Yes
97.9,Month-to-month,Electronic check,No,No
91.85,Month-to-month,Electronic check,Yes,No
105.95,Month-to-month,Credit card (automatic),Yes,Yes
74.35,Month-to-month,Electronic check,Yes,Yes
88.35,Month-to-month,Electronic check,Yes,No
55.15,Month-to-month,Electronic check,Yes,No
74.15,Month-to-month,Mailed check,No,Yes
104.75,Month-to-month,Bank transfer (automatic),No,Yes
30.6,Month-to-month,Electronic check,No,No phone service
23.15,Month-to-month,Credit card (automatic),No,Yes
106.6,Two year,Electronic check,No,Yes
74.25,Month-to-month,Electronic check,No,Yes
89.95,Month-to-month,Electronic check,No,Yes
50.75,Month-to-month,Electronic check,No,No phone service
55.35,Month-to-month,Electronic check,No,No
99.5,One year,Bank transfer (automatic),Yes,Yes
20.25,Month-to-month,Bank transfer (automatic),No,No
78.8,Month-to-month,Electronic check,Yes,No
98.5,Month-to-month,Electronic check,Yes,Yes
20.15,One year,Bank transfer (automatic),No,No
80.55,Two year,Bank transfer (automatic),Yes,Yes
79.9,Month-to-month,Electronic check,No,No
55.15,One year,Credit card (automatic),No,No
89.7,Month-to-month,Electronic check,No,Yes
95.25,Month-to-month,Electronic check,Yes,Yes
80.45,Month-to-month,Electronic check,No,Yes
70.9,Month-to-month,Mailed check,No,No
88.95,Month-to-month,Electronic check,No,Yes
69.15,Month-to-month,Electronic check,Yes,No
30.45,Month-to-month,Electronic check,No,No phone service
95.7,Month-to-month,Electronic check,No,Yes
39.3,Month-to-month,Electronic check,Yes,No phone service
76.35,Month-to-month,Electronic check,No,No
46.0,Month-to-month,Mailed check,No,No
75.2,Month-to-month,Credit card (automatic),No,Yes
49.05,Month-to-month,Credit card (automatic),No,No
89.65,Month-to-month,Credit card (automatic),Yes,No
94.9,Month-to-month,Electronic check,No,No
89.5,Month-to-month,Electronic check,No,No
84.1,Month-to-month,Electronic check,Yes,No
20.25,Month-to-month,Mailed check,No,No
24.75,Month-to-month,Electronic check,No,No phone service
20.1,Month-to-month,Credit card (automatic),No,No
78.55,Month-to-month,Electronic check,No,Yes
105.5,One year,Credit card (automatic),Yes,No
19.5,Month-to-month,Mailed check,No,No
100.8,Month-to-month,Electronic check,Yes,Yes
61.65,Month-to-month,Mailed check,No,Yes
45.7,Month-to-month,Mailed check,No,No
94.0,Month-to-month,Electronic check,No,Yes
99.15,Month-to-month,Electronic check,Yes,Yes
66.4,Month-to-month,Bank transfer (automatic),No,No
69.6,Month-to-month,Electronic check,No,No
50.15,Month-to-month,Credit card (automatic),Yes,No
84.0,Month-to-month,Electronic check,Yes,Yes
75.35,Month-to-month,Electronic check,No,Yes
74.9,Month-to-month,Electronic check,No,Yes
104.4,Month-to-month,Electronic check,Yes,Yes
94.55,Month-to-month,Credit card (automatic),Yes,Yes
85.65,Month-to-month,Electronic check,No,Yes
19.65,Month-to-month,Electronic check,No,No
83.3,Month-to-month,Electronic check,Yes,No
34.25,Month-to-month,Mailed check,No,No phone service
45.95,Month-to-month,Mailed check,No,No
97.35,Month-to-month,Bank transfer (automatic),Yes,Yes
79.3,Month-to-month,Electronic check,No,No
108.65,Two year,Bank transfer (automatic),Yes,Yes
78.95,Month-to-month,Electronic check,No,No
74.9,Month-to-month,Bank transfer (automatic),Yes,Yes
65.3,Two year,Credit card (automatic),Yes,Yes
44.55,Month-to-month,Electronic check,No,No
30.75,Month-to-month,Credit card (automatic),Yes,No phone service
87.05,Month-to-month,Electronic check,No,Yes
79.5,Month-to-month,Bank transfer (automatic),Yes,No
68.5,Month-to-month,Electronic check,Yes,No
76.45,Month-to-month,Bank transfer (automatic),No,No
103.45,One year,Electronic check,No,Yes
95.25,Month-to-month,Bank transfer (automatic),Yes,Yes
71.15,Month-to-month,Electronic check,No,No
51.55,Month-to-month,Electronic check,No,Yes
84.85,Month-to-month,Mailed check,No,No
35.15,Month-to-month,Electronic check,Yes,No phone service
73.55,Month-to-month,Bank transfer (automatic),Yes,No
49.4,Month-to-month,Electronic check,No,No
94.0,Month-to-month,Electronic check,Yes,Yes
74.55,Month-to-month,Electronic check,No,No
54.85,Month-to-month,Mailed check,No,No
33.65,Month-to-month,Electronic check,No,No phone service
100.1,Month-to-month,Electronic check,No,Yes
89.3,Month-to-month,Electronic check,No,No
85.4,Month-to-month,Electronic check,Yes,Yes
74.95,Month-to-month,Electronic check,Yes,Yes
75.35,Month-to-month,Electronic check,No,No
86.6,Month-to-month,Electronic check,No,Yes
50.8,Month-to-month,Electronic check,No,No phone service
69.4,Month-to-month,Mailed check,No,No
85.7,Month-to-month,Electronic check,No,Yes
55.0,Month-to-month,Credit card (automatic),No,No
93.5,Month-to-month,Electronic check,No,Yes
44.15,Month-to-month,Electronic check,No,No
84.4,Month-to-month,Electronic check,No,No
91.85,Month-to-month,Bank transfer (automatic),Yes,Yes
49.25,Month-to-month,Credit card (automatic),Yes,No
79.85,Month-to-month,Bank transfer (automatic),No,No
56.25,Month-to-month,Electronic check,No,No
45.65,Month-to-month,Mailed check,No,No
88.7,Month-to-month,Electronic check,No,Yes
64.75,Month-to-month,Electronic check,No,No
71.0,Month-to-month,Electronic check,No,No
45.6,Month-to-month,Electronic check,No,No
48.95,Month-to-month,Electronic check,No,No
94.2,Month-to-month,Electronic check,Yes,No
19.9,Month-to-month,Mailed check,No,No
85.0,Month-to-month,Electronic check,No,Yes
80.5,Month-to-month,Bank transfer (automatic),Yes,Yes
55.0,Month-to-month,Credit card (automatic),No,No
44.65,Month-to-month,Mailed check,No,No
83.0,One year,Electronic check,Yes,Yes
98.5,Month-to-month,Electronic check,No,Yes
94.4,Month-to-month,Bank transfer (automatic),No,No
79.55,Month-to-month,Mailed check,No,Yes
95.0,Month-to-month,Mailed check,No,Yes
54.45,Month-to-month,Electronic check,No,No phone service
72.85,Month-to-month,Electronic check,No,No
93.85,Month-to-month,Bank transfer (automatic),Yes,Yes
70.45,Month-to-month,Mailed check,Yes,No
61.15,Month-to-month,Mailed check,Yes,No
84.2,Month-to-month,Electronic check,Yes,No
70.5,Month-to-month,Electronic check,No,No
84.45,Month-to-month,Electronic check,No,Yes
85.2,Month-to-month,Electronic check,No,Yes
20.25,Month-to-month,Mailed check,No,No
79.4,Month-to-month,Electronic check,No,No
101.3,Month-to-month,Electronic check,Yes,Yes
106.1,One year,Credit card (automatic),No,Yes
55.4,Month-to-month,Electronic check,No,No
84.85,Month-to-month,Electronic check,No,No
80.15,Month-to-month,Electronic check,Yes,Yes
53.9,Month-to-month,Mailed check,No,No
74.55,Month-to-month,Electronic check,No,Yes
50.35,Month-to-month,Electronic check,No,No
35.55,Month-to-month,Electronic check,No,No phone service
74.5,Month-to-month,Electronic check,No,No
81.0,Month-to-month,Credit card (automatic),No,No
77.85,Month-to-month,Electronic check,No,No
48.7,Month-to-month,Electronic check,Yes,No
94.45,Month-to-month,Electronic check,Yes,No
20.95,Month-to-month,Bank transfer (automatic),No,No
45.3,Month-to-month,Electronic check,No,No
79.45,One year,Mailed check,No,Yes
101.45,Month-to-month,Electronic check,No,Yes
70.0,Month-to-month,Electronic check,No,No
93.7,Month-to-month,Electronic check,No,Yes
76.5,Month-to-month,Electronic check,No,Yes
85.2,Month-to-month,Bank transfer (automatic),No,Yes
102.6,One year,Electronic check,Yes,Yes
98.8,Month-to-month,Electronic check,No,Yes
88.35,Month-to-month,Electronic check,No,No
51.8,One year,Bank transfer (automatic),Yes,No phone service
58.6,Month-to-month,Credit card (automatic),No,Yes
19.8,One year,Bank transfer (automatic),Yes,No
82.05,One year,Mailed check,Yes,Yes
94.4,Month-to-month,Electronic check,No,No
79.75,Month-to-month,Bank transfer (automatic),No,No
74.3,One year,Mailed check,No,No
79.65,Month-to-month,Mailed check,No,Yes
55.95,One year,Electronic check,Yes,No phone service
69.65,Month-to-month,Electronic check,No,No
79.4,Month-to-month,Electronic check,No,Yes
74.2,Month-to-month,Electronic check,No,Yes
96.6,Month-to-month,Electronic check,No,Yes
24.8,Month-to-month,Bank transfer (automatic),No,No phone service
110.0,Two year,Bank transfer (automatic),Yes,Yes
90.7,Month-to-month,Credit card (automatic),No,Yes
73.65,Month-to-month,Electronic check,Yes,No
79.65,Month-to-month,Mailed check,Yes,No
104.05,One year,Electronic check,Yes,Yes
89.15,Month-to-month,Electronic check,No,No
94.55,Month-to-month,Mailed check,No,Yes
69.55,Month-to-month,Mailed check,No,No
24.25,Month-to-month,Mailed check,No,No phone service
62.3,One year,Mailed check,No,No
90.95,One year,Electronic check,Yes,No
79.8,Month-to-month,Electronic check,No,No
99.45,Month-to-month,Electronic check,Yes,Yes
80.0,Month-to-month,Electronic check,No,No
94.85,One year,Bank transfer (automatic),Yes,No
80.1,Month-to-month,Credit card (automatic),No,No
75.55,Month-to-month,Electronic check,No,Yes
74.95,Month-to-month,Electronic check,No,Yes
100.45,Month-to-month,Credit card (automatic),Yes,Yes
98.7,Month-to-month,Electronic check,No,Yes
104.25,Month-to-month,Electronic check,Yes,Yes
45.3,Month-to-month,Bank transfer (automatic),Yes,No phone service
70.65,Month-to-month,Mailed check,Yes,No
81.3,Month-to-month,Electronic check,Yes,Yes
71.1,Month-to-month,Mailed check,No,No
85.25,Month-to-month,Electronic check,No,Yes
69.75,Month-to-month,Electronic check,No,No
104.2,Month-to-month,Electronic check,Yes,Yes
84.95,Month-to-month,Electronic check,Yes,No
80.3,Month-to-month,Electronic check,Yes,Yes
95.1,Month-to-month,Electronic check,Yes,Yes
84.4,Month-to-month,Bank transfer (automatic),Yes,Yes
19.9,Month-to-month,Electronic check,Yes,No
96.75,Month-to-month,Electronic check,Yes,Yes
84.05,One year,Electronic check,No,Yes
29.95,Month-to-month,Electronic check,Yes,No phone service
93.8,Month-to-month,Electronic check,Yes,Yes
74.15,Month-to-month,Credit card (automatic),Yes,No
86.0,Month-to-month,Electronic check,No,No
95.15,Month-to-month,Electronic check,No,Yes
106.55,One year,Bank transfer (automatic),Yes,Yes
69.0,Month-to-month,Electronic check,Yes,No
96.05,Month-to-month,Electronic check,No,Yes
96.65,Month-to-month,Electronic check,No,Yes
74.5,Month-to-month,Electronic check,Yes,Yes
101.55,Month-to-month,Bank transfer (automatic),No,Yes
86.3,Month-to-month,Mailed check,Yes,No
85.1,Month-to-month,Electronic check,Yes,Yes
106.15,Month-to-month,Electronic check,No,Yes
71.65,Month-to-month,Electronic check,No,No
96.15,Month-to-month,Electronic check,No,Yes
94.5,Month-to-month,Electronic check,Yes,Yes
70.95,Month-to-month,Electronic check,No,No
74.4,Month-to-month,Electronic check,No,No
51.0,Month-to-month,Mailed check,No,No
106.7,Month-to-month,Electronic check,No,Yes
74.4,Month-to-month,Electronic check,No,No
104.2,Month-to-month,Electronic check,Yes,Yes
104.05,Month-to-month,Bank transfer (automatic),Yes,Yes
98.35,Month-to-month,Electronic check,No,Yes
99.3,Month-to-month,Credit card (automatic),Yes,No
96.5,Month-to-month,Bank transfer (automatic),No,No
90.8,Month-to-month,Bank transfer (automatic),No,No
67.95,Month-to-month,Bank transfer (automatic),Yes,Yes
104.85,Month-to-month,Electronic check,No,Yes
36.85,Month-to-month,Mailed check,No,No phone service
89.7,Month-to-month,Bank transfer (automatic),No,No
111.25,One year,Credit card (automatic),No,Yes
85.35,Month-to-month,Electronic check,No,No
60.05,Month-to-month,Electronic check,Yes,Yes
79.65,Month-to-month,Bank transfer (automatic),Yes,Yes
34.0,Month-to-month,Bank transfer (automatic),Yes,No phone service
70.75,Month-to-month,Credit card (automatic),No,No
67.75,Month-to-month,Electronic check,No,No
84.7,Month-to-month,Mailed check,No,No
68.65,Month-to-month,Bank transfer (automatic),No,No
83.55,Month-to-month,Credit card (automatic),Yes,No
117.8,One year,Bank transfer (automatic),Yes,Yes
44.35,Month-to-month,Electronic check,No,No
50.8,Month-to-month,Bank transfer (automatic),No,No
60.05,Month-to-month,Bank transfer (automatic),No,No
75.45,Month-to-month,Mailed check,No,Yes
69.7,Month-to-month,Electronic check,No,No
83.15,Month-to-month,Credit card (automatic),No,Yes
65.7,Month-to-month,Mailed check,Yes,No
75.8,One year,Bank transfer (automatic),Yes,Yes
33.9,Month-to-month,Mailed check,No,No phone service
20.5,Month-to-month,Mailed check,Yes,No
99.75,Month-to-month,Bank transfer (automatic),Yes,Yes
25.05,Month-to-month,Electronic check,No,No phone service
50.6,Month-to-month,Electronic check,No,No phone service
89.15,Month-to-month,Mailed check,Yes,No
44.35,Month-to-month,Bank transfer (automatic),Yes,No
54.35,Month-to-month,Electronic check,No,Yes
78.85,Month-to-month,Electronic check,No,No
83.75,Month-to-month,Bank transfer (automatic),Yes,Yes
79.9,Month-to-month,Credit card (automatic),Yes,Yes
112.95,Month-to-month,Mailed check,No,Yes
74.35,Month-to-month,Electronic check,No,Yes
24.1,One year,Bank transfer (automatic),Yes,No phone service
50.75,Month-to-month,Electronic check,No,No
70.75,Month-to-month,Mailed check,No,No
90.85,Month-to-month,Credit card (automatic),No,Yes
50.45,Month-to-month,Electronic check,No,Yes
80.5,Month-to-month,Electronic check,Yes,Yes
85.85,Month-to-month,Electronic check,No,No
98.5,Month-to-month,Electronic check,Yes,No
103.95,One year,Bank transfer (automatic),No,Yes
81.45,Month-to-month,Electronic check,No,Yes
80.85,Month-to-month,Electronic check,Yes,No
99.8,Month-to-month,Credit card (automatic),No,No
44.4,Month-to-month,Electronic check,No,No
20.55,Month-to-month,Electronic check,No,No
103.25,One year,Bank transfer (automatic),No,Yes
84.8,Month-to-month,Credit card (automatic),No,Yes
73.0,One year,Electronic check,Yes,Yes
80.4,Month-to-month,Electronic check,Yes,No
74.05,One year,Mailed check,No,Yes
110.85,One year,Credit card (automatic),Yes,Yes
74.4,Month-to-month,Credit card (automatic),Yes,Yes
84.45,Month-to-month,Electronic check,No,Yes
55.7,Month-to-month,Mailed check,No,Yes
82.3,Month-to-month,Electronic check,No,No
95.35,Month-to-month,Electronic check,No,No
29.65,Month-to-month,Electronic check,No,No phone service
100.25,Month-to-month,Electronic check,No,Yes
102.0,One year,Electronic check,No,Yes
49.65,Month-to-month,Mailed check,No,No
74.4,Month-to-month,Electronic check,No,Yes
75.05,Month-to-month,Mailed check,No,Yes
23.45,Month-to-month,Electronic check,Yes,No phone service
82.35,Month-to-month,Electronic check,No,Yes
85.2,Month-to-month,Credit card (automatic),Yes,Yes
93.85,Month-to-month,Electronic check,No,Yes
73.25,Month-to-month,Credit card (automatic),No,Yes
95.65,Month-to-month,Mailed check,No,Yes
71.05,Month-to-month,Electronic check,Yes,No
25.25,Month-to-month,Electronic check,No,No phone service
80.65,Month-to-month,Electronic check,No,Yes
74.3,Month-to-month,Credit card (automatic),No,No
88.45,Month-to-month,Electronic check,No,Yes
102.8,Month-to-month,Electronic check,Yes,No
97.8,Month-to-month,Electronic check,No,Yes
79.15,Month-to-month,Electronic check,No,Yes
60.3,One year,Credit card (automatic),Yes,No
91.1,Month-to-month,Electronic check,No,No
65.45,Month-to-month,Electronic check,Yes,No
69.1,Month-to-month,Electronic check,No,No
80.0,Month-to-month,Credit card (automatic),No,Yes
45.3,Month-to-month,Electronic check,No,No
86.2,Month-to-month,Mailed check,No,No
73.85,Month-to-month,Electronic check,No,Yes
103.35,Month-to-month,Bank transfer (automatic),No,Yes
45.3,Month-to-month,Mailed check,No,No
108.45,One year,Electronic check,No,Yes
47.8,Month-to-month,Electronic check,No,No
25.8,Month-to-month,Mailed check,No,No phone service
41.9,Month-to-month,Electronic check,No,No phone service
75.85,Month-to-month,Electronic check,Yes,Yes
45.05,Month-to-month,Electronic check,No,No
89.95,Month-to-month,Electronic check,Yes,Yes
80.85,Month-to-month,Electronic check,No,No
78.95,Month-to-month,Credit card (automatic),Yes,Yes
95.0,Month-to-month,Electronic check,No,No
75.3,Month-to-month,Credit card (automatic),No,No
75.5,Month-to-month,Electronic check,Yes,Yes
73.75,Month-to-month,Electronic check,Yes,No
25.3,Month-to-month,Electronic check,No,No phone service
53.55,Month-to-month,Mailed check,No,No
84.85,Month-to-month,Electronic check,Yes,Yes
85.0,Month-to-month,Electronic check,No,No
98.75,Month-to-month,Electronic check,No,Yes
75.0,Month-to-month,Electronic check,Yes,No
97.1,Month-to-month,Bank transfer (automatic),Yes,Yes
59.0,Month-to-month,Electronic check,No,Yes
97.95,Month-to-month,Electronic check,Yes,Yes
89.9,Month-to-month,Electronic check,No,Yes
78.05,Month-to-month,Electronic check,No,No
86.8,Month-to-month,Electronic check,No,Yes
94.1,Month-to-month,Electronic check,No,Yes
106.4,Month-to-month,Electronic check,No,Yes
74.4,Month-to-month,Electronic check,No,Yes
79.5,Month-to-month,Electronic check,No,Yes
103.9,Month-to-month,Electronic check,Yes,Yes
74.75,Month-to-month,Credit card (automatic),Yes,Yes
75.45,Month-to-month,Electronic check,No,Yes
105.55,Month-to-month,Electronic check,Yes,Yes
20.0,Month-to-month,Bank transfer (automatic),No,No
19.25,Month-to-month,Electronic check,No,No
44.4,Month-to-month,Mailed check,No,No
96.8,Month-to-month,Bank transfer (automatic),No,No
83.35,Month-to-month,Bank transfer (automatic),Yes,Yes
74.2,Month-to-month,Credit card (automatic),No,Yes
101.35,Month-to-month,Bank transfer (automatic),No,Yes
89.4,Month-to-month,Electronic check,Yes,No
44.7,Month-to-month,Electronic check,No,No
87.4,One year,Electronic check,Yes,Yes
51.05,Month-to-month,Electronic check,Yes,No
25.4,Month-to-month,Credit card (automatic),No,Yes
80.1,Month-to-month,Bank transfer (automatic),No,No
84.15,Month-to-month,Bank transfer (automatic),Yes,No
73.85,Month-to-month,Electronic check,No,No
20.0,Month-to-month,Mailed check,No,No
19.95,Month-to-month,Mailed check,Yes,No
87.45,Month-to-month,Electronic check,Yes,Yes
104.4,Month-to-month,Bank transfer (automatic),Yes,Yes
81.1,Month-to-month,Electronic check,No,No
74.65,Month-to-month,Electronic check,No,No
79.7,Month-to-month,Electronic check,No,No
70.8,Month-to-month,Mailed check,No,No
55.95,Month-to-month,Electronic check,Yes,No
94.5,Month-to-month,Credit card (automatic),No,Yes
70.0,Month-to-month,Electronic check,Yes,No
83.8,Month-to-month,Electronic check,Yes,No
81.0,Month-to-month,Electronic check,Yes,Yes
104.65,One year,Electronic check,No,Yes
78.45,Month-to-month,Electronic check,No,No
19.35,Month-to-month,Mailed check,Yes,No
75.1,Month-to-month,Credit card (automatic),No,Yes
104.6,Two year,Electronic check,No,Yes
71.35,Month-to-month,Electronic check,No,No
75.7,Month-to-month,Electronic check,No,No
50.1,Month-to-month,Mailed check,No,Yes
66.35,Month-to-month,Electronic check,Yes,Yes
24.8,Month-to-month,Electronic check,Yes,No phone service
65.2,Month-to-month,Credit card (automatic),No,Yes
79.0,Month-to-month,Electronic check,No,No
18.95,Month-to-month,Mailed check,No,No
109.15,Month-to-month,Electronic check,No,Yes
43.95,Month-to-month,Mailed check,No,No
79.2,Month-to-month,Credit card (automatic),No,No
90.6,Month-to-month,Electronic check,No,Yes
110.9,One year,Credit card (automatic),No,Yes
93.55,Month-to-month,Bank transfer (automatic),No,Yes
45.7,Month-to-month,Electronic check,No,No phone service
76.0,Month-to-month,Mailed check,No,Yes
95.5,Month-to-month,Electronic check,No,Yes
49.85,Month-to-month,Electronic check,No,No
86.2,Month-to-month,Electronic check,No,No
35.05,Month-to-month,Mailed check,No,No phone service
99.2,One year,Electronic check,Yes,Yes
99.25,Month-to-month,Electronic check,Yes,Yes
